,Accessible book,Action & Adventure,Adventure and adventurers,Adventure fiction,Adventure stories,African Americans,American Authors,American Fantasy fiction,American Horror tales,American Science fiction,American fiction,Americans,Amerikanisches Englisch,Animals,Artists,Assassins,Australia,Authorship,Best friends,Bildungsromans,Biographies,Biography,Biography & Autobiography,Boarding schools,Books and reading,Boston,Boys,Brothers,Brothers and sisters,Business,California,Cartoons and comics,Case studies,Chicago,Chicago (Ill.),Children,Children's stories,"Children's stories, American","Children's stories, English",China,Ciencia-ficción,City and town life,Classic Literature,Classics,"Comic books, strips",Comics & Graphic Novels,Coming of age,Conduct of life,Connecticut,Country life,Crimes against,Criticism and interpretation,Dating (Social customs),Death,Demonology,Description and travel,Detective and mystery stories,Diaries,Discworld (Imaginary place),Dogs,Domestic fiction,Drama,Dystopias,England,English Fantasy fiction,English drama,English fiction,English language,English literature,Europe,Extraterrestrial beings,FICTION,FICTION / Literary,Fairies,Fairy tales,Families,Family,Family life,Family secrets,Fantasy,Fantasy fiction,Fathers and daughters,Fathers and sons,Female friendship,Ficción,Ficción juvenil,Fiction,Fiction in English,Florida,Folklore,France,Friendship,General,Genetic engineering,Georgia,Germany,Girls,God,Good and evil,Graphic novels,Great Britain,Greek Mythology,Grief,Heroes,High school students,High schools,Historical,Historical Fiction,Historical fiction,History,History and criticism,Horror,Horror fiction,Horror stories,Horror tales,Hugo Award Winner,Humor,Humorous fiction,Humorous stories,Imaginary places,Imaginary wars and battles,India,Inheritance and succession,Internet Archive Wishlist,Interpersonal relations,Investigation,Ireland,Islands,Italy,JUVENILE FICTION,JUVENILE FICTION / Fantasy & Magic,Japan,Jews,Journalists,Juvenile Fiction,Juvenile fiction,Juvenile literature,Kidnapping,Kings and rulers,Large type books,Life change events,Life on other planets,Literary,Literature,London,London (England),Long Now Manual for Civilization,Louisiana,Love,Love stories,Magic,Maine,Male friendship,Man-woman relationships,Manners and customs,Manuscripts,Marriage,Married people,Married women,Massachusetts,Missing persons,Monsters,Mothers and daughters,Mothers and sons,Murder,Mystery,Mystery and detective stories,Mystery fiction,New England,New Jersey,New York,New York (N.Y.),New York (State),New York City,New York Times bestseller,Nonfiction,North Carolina,Novela,Novela fantástica,Open Library Staff Picks,Orphans,Paranormal fiction,Paris,Paris (France),Patients,Philosophy,Poetry,Police,Politics and government,Presidents,Princes,Princesses,Private investigators,Protected DAISY,Psychic ability,Psychological aspects,Psychological fiction,Psychology,Quests (Expeditions),Race relations,Readers,Revenge,Roman,Romance,Romance fiction,"Romans, nouvelles",Russia,San Francisco,School stories,Schools,Science Fiction,Science Fiction & Fantasy,Science fiction,Secrecy,Secrets,Self-actualization (Psychology),Self-realization,Serial murders,Sherlock Holmes,Short stories,Sisters,Social Themes,Social classes,Social conditions,Social life and customs,Spanish language materials,Specimens,Spies,Spy stories,Stephanie Plum (Fictitious character),Study and teaching,Success,Supernatural,Survival,"Survival after airplane accidents, shipwrecks",Suspense,Suspense fiction,Teenage boys,Teenage girls,Teenagers,Terrorism,Texas,Textual Criticism,Thriller,Time travel,Toy and movable books,Translations into English,Translations into Russian,Travel,Triangles (Interpersonal relations),Twins,USA,United States,Vampires,Voyages and travels,War,Werewolves,Widows,Witches,Wizards,Women,Women detectives,"World War, 1939-1945",Young Adult Fiction,Young adult fiction,Young men,Young women,award:hugo_award=novel,fantasy,fiction,historical fiction,horror,horror fiction,horror tales,literary fiction,open_syllabus_project,science fiction,suspense,thrillers,title,modularity_class,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",6,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,1,1,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",6,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",3,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",6,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",6,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",6,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harry Potter Collection (Harry Potter, #1-6)",4,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",3,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",3,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Short History of Nearly Everything,3,,,,,,,
