Id,Label,timeset,bipartite,title,subjects,modularity_class,Degree,componentnumber,Weighted Degree,eigencentrality,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
1,228063,,1,"xxxHolic, Vol. 1 (xxxHOLiC, #1)",None,2,51,0,3.265857,0.776112,0.766275,977,3,0.625,0.745614,14.590338,0.011247
7,74928,,1,"Hellsing, Vol. 01 (Hellsing, #1)",None,2,43,0,2.215138,0.669337,0.799557,722,3,0.59375,0.703509,7.589174,0.008277
94,7352220,,1,"Black Butler, Vol. 3 (Black Butler, #3)",None,1,53,0,3.415189,0.815032,0.782293,1078,3,0.633333,0.75614,13.027494,0.011799
293,3243517,,1,&#1585;&#1571;&#1610;&#1578; &#1585;&#1575;&#1605; &#1575;&#1604;&#1604;&#1607;,None,0,14,0,1.149939,0.014304,0.725275,66,4,0.383065,0.448246,3.147124,0.009499
335,16104434,,1,&#1602;&#1608;&#1575;&#1593;&#1583; &#1575;&#1604;&#1593;&#1588;&#1602; &#1575;&#1604;&#1571;&#1585;&#1576;&#1593;&#1608;&#1606;: &#1585;&#1608;&#1575;&#1610;&#1577; &#1593;&#1606; &#1580;&#1604;&#1575;&#1604; &#1575;&#1604;&#1583;&#1610;&#1606; &#1575;&#1604;&#1585;&#1608;&#1605;&#1610;,None,0,17,0,1.562674,0.019877,0.772059,105,4,0.387755,0.464035,3.00791,0.011729
337,295305,,1,"Wolf Brother (Chronicles of Ancient Darkness, #1)",None,1,33,0,1.16016,0.545715,0.945076,499,4,0.533708,0.638596,6.820043,0.005162
399,18711993,,1,&#1601;&#1604;&#1578;&#1594;&#1601;&#1585;&#1610;,None,0,12,0,0.87943,0.01287,0.772727,51,4,0.38,0.437719,1.693832,0.007387
486,13570,,1,"Tsubasa: RESERVoir CHRoNiCLE, Vol. 1",None,2,58,0,4.145055,0.864763,0.733817,1213,3,0.655172,0.782456,21.89417,0.013905
543,836609,,1,"Fruits Basket, Vol. 9",None,4,43,0,4.449914,0.668522,0.815061,736,3,0.59375,0.703509,7.021383,0.014437
1135,6388432,,1,&#1575;&#1604;&#1582;&#1610;&#1605;&#1610;&#1575;&#1574;&#1610;,None,0,14,0,0.917179,0.017159,0.824176,75,4,0.383065,0.448246,2.037386,0.007436
1262,16081961,,1,&#1575;&#1604;&#1571;&#1587;&#1608;&#1583; &#1610;&#1604;&#1610;&#1602; &#1576;&#1603;,None,0,16,0,1.156937,0.046985,0.65,78,3,0.5,0.55614,99.123804,0.008723
1292,1237398,,1,"One Piece, Volume 1: Romance Dawn",None,1,67,0,3.898972,0.953063,0.65943,1458,3,0.698529,0.829825,41.030909,0.013428
1310,13616,,1,"Death Note, Vol. 4: Love (Death Note, #4)",None,3,22,0,3.461545,0.316518,0.874459,202,3,0.519126,0.589474,4.475837,0.011664
1349,2880,,1,"Bleach, Volume 01",None,1,69,0,4.619191,0.980272,0.657715,1543,3,0.708955,0.840351,42.477652,0.015507
1388,824763,,1,"Reborn! Vol. 01: Reborn Arrives! (Reborn!, #1)",None,1,38,0,2.278472,0.60294,0.847795,596,3,0.575758,0.677193,4.577882,0.008503
1459,2454986,,1,"Fairy Tail, Vol. 01 (Fairy Tail, #1)",None,1,62,0,4.28421,0.919336,0.722369,1366,3,0.673759,0.803509,24.237508,0.014615
1473,3503947,,1,&#1610;&#1608;&#1578;&#1608;&#1576;&#1610;&#1575;,None,0,16,0,1.641466,0.03706,0.766667,92,3,0.530726,0.575439,78.338966,0.012042
