Id,Label,timeset,bipartite,title,subjects,modularity_class,Degree,componentnumber,Weighted Degree,eigencentrality,clustering,triangles,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
4,8909,,1,The War of the Worlds,None,3,800,0,12.348662,0.638058,0.460497,147175,2,0.655159,0.736827,1370.985051
5,48132,,1,"My Family and Other Animals (Corfu Trilogy, #1)",None,2,132,0,2.730225,0.114296,0.579112,5007,2,0.520333,0.539076,30.039413
8,350540,,1,The Road,None,0,197,0,3.144922,0.198664,0.722366,13946,2,0.530965,0.558319,35.42793
21,3061,,1,The Natural Way to Draw,None,1,103,0,3.291857,0.079222,0.580049,3047,3,0.515568,0.530393,59.55108
26,10884,,1,Einstein: His Life and Universe,None,2,402,0,4.993167,0.348215,0.554807,44718,2,0.56754,0.619005,320.59099
31,25200,,1,Silence,None,0,196,0,4.005191,0.1811,0.627786,11997,2,0.530798,0.558022,58.74485
34,18736925,,1,Capital in the Twenty-First Century,None,4,122,0,2.596313,0.091805,0.540713,3991,2,0.518735,0.536116,42.825119
35,38855,,1,Confederates in the Attic: Dispatches from the Unfinished Civil War,None,2,341,0,7.443221,0.308573,0.615801,35698,2,0.556141,0.600947,157.593836
36,3052106,,1,The Picture of Dorian Gray: A Graphic Novel,None,3,453,0,11.645025,0.415002,0.644767,66010,2,0.577436,0.634103,243.056148
38,4452257,,1,The Book of Basketball: The NBA According to The Sports Guy,None,4,190,0,2.577192,0.197003,0.767084,13773,2,0.529799,0.556246,29.084635
42,44905,,1,Writing Down the Bones: Freeing the Writer Within,None,4,272,0,6.52947,0.243007,0.64383,23729,2,0.543786,0.580521,96.031675
44,81939,,1,The Mastery of Love: A Practical Guide to the Art of Relationship --Toltec Wisdom Book,None,4,166,0,2.915674,0.150384,0.672362,9208,2,0.525841,0.549142,47.768358
47,146274,,1,Manhunt: The 12-Day Chase for Lincoln's Killer,None,2,165,0,2.827171,0.163975,0.720621,9750,2,0.525677,0.548845,24.748091
52,7493,,1,Founding Brothers: The Revolutionary Generation,None,2,311,0,6.103347,0.295453,0.665989,32104,2,0.550701,0.592066,108.604113
