Id,Label,timeset,bipartite,title,subjects,modularity_class,Degree,componentnumber,Weighted Degree,eigencentrality,clustering,triangles,Authority,Hub,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
6,4201106,,1,"A Rule Against Murder (Chief Inspector Armand Gamache, #4)",None,0,243,0,9.355069,0.286778,0.616842,18137,0.021413,0.021413,0.000898,3,0.54451,0.582425,118.069412
11,34964864,,1,After Anna,None,0,339,0,11.973272,0.378828,0.542127,31059,0.028249,0.028249,0.001113,2,0.565268,0.615463,344.279104
13,16115612,,1,And the Mountains Echoed,None,1,763,0,11.744699,0.730735,0.357392,103895,0.054398,0.054398,0.001127,2,0.675564,0.759877,3150.503107
17,15811568,,1,Six Years,None,0,203,0,5.153891,0.243944,0.635712,13034,0.018139,0.018139,0.000565,3,0.53655,0.568801,85.20116
20,28143118,,1,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",None,3,108,0,4.600145,0.072304,0.401696,2321,0.005199,0.005199,0.000596,3,0.518728,0.536558,145.67207
22,10909,,1,The Tenth Circle,None,2,202,0,6.428242,0.226096,0.573075,11634,0.016814,0.016814,0.000674,3,0.536158,0.568347,109.173047
23,14758,,1,In Her Shoes,None,1,445,0,7.012092,0.44267,0.418595,41353,0.032874,0.032874,0.000748,3,0.589085,0.651453,937.432382
30,23212667,,1,All the Missing Girls,None,0,488,0,11.40961,0.52549,0.479146,56936,0.039198,0.039198,0.001073,3,0.599184,0.665985,708.342806
39,23453112,,1,Modern Romance,None,4,432,0,6.654145,0.461474,0.468054,43574,0.034397,0.034397,0.00069,2,0.586262,0.647139,707.456519
40,1472878,,1,"Firefly Lane (Firefly Lane, #1)",None,0,611,0,12.716772,0.627721,0.421835,78611,0.046794,0.046794,0.001191,3,0.631126,0.707993,1299.804003
43,36344555,,1,All We Ever Wanted,None,0,489,0,13.013246,0.506618,0.446327,53254,0.037718,0.037718,0.001223,3,0.599673,0.66644,1107.378764
49,32527,,1,"Alone (Detective D.D. Warren, #1)",None,2,154,0,5.512025,0.163294,0.599015,7057,0.012134,0.012134,0.000598,3,0.52692,0.551998,65.358795
57,33294200,,1,The Poet X,None,4,226,0,4.906329,0.266868,0.582773,14817,0.019893,0.019893,0.000545,3,0.541498,0.576862,136.932085
61,2807199,,1,American Wife,None,1,274,0,6.958876,0.314894,0.558648,20894,0.023485,0.023485,0.000721,3,0.551051,0.593097,205.69475
75,42156,,1,"Something Borrowed (Darcy &#38; Rachel, #1)",None,1,549,0,7.259463,0.539026,0.394546,59350,0.040067,0.040067,0.000759,3,0.61474,0.686876,1497.390457
78,10988,,1,"Drums of Autumn (Outlander, #4)",None,1,526,0,10.583787,0.556608,0.447496,61788,0.041484,0.041484,0.001021,2,0.609129,0.679155,973.983167
80,11331421,,1,The Art of Hearing Heartbeats,None,1,382,0,8.980591,0.434264,0.526666,38326,0.032414,0.032414,0.000884,3,0.574335,0.629882,370.040566
81,26025989,,1,The Princess Diarist,None,4,99,0,1.979934,0.125864,0.6745,3272,0.009371,0.009371,0.000285,3,0.517083,0.533492,16.465195
82,24388326,,1,The Heart Goes Last,None,4,174,0,4.721514,0.206275,0.618896,9315,0.01537,0.01537,0.000535,3,0.530155,0.55847,67.539172
84,16183,,1,"The Virgin's Lover (The Plantagenet and Tudor Novels, #13)",None,1,139,0,4.681434,0.156728,0.613075,5880,0.011656,0.011656,0.000545,3,0.524473,0.547116,60.543512
89,10805160,,1,"Broken Harbour (Dublin Murder Squad, #4)",None,0,255,0,7.216117,0.308575,0.599444,19413,0.023026,0.023026,0.000737,3,0.547149,0.586626,148.086659
93,1282954,,1,The Last Anniversary,None,0,353,0,10.613241,0.401776,0.537004,33363,0.029978,0.029978,0.00101,3,0.568111,0.620118,310.222645
97,33149088,,1,"Say You're Sorry (Morgan Dane, #1)",None,3,126,0,2.800791,0.130504,0.52381,4125,0.009651,0.009651,0.000364,2,0.52242,0.542916,103.76944
99,29437949,,1,Behind Closed Doors,None,0,752,0,14.80008,0.726436,0.366731,103556,0.054072,0.054072,0.001356,2,0.672161,0.756131,2774.968019
101,34374628,,1,Next Year in Havana,None,0,404,0,11.629964,0.46354,0.538253,43817,0.034627,0.034627,0.001088,2,0.579779,0.637602,446.790496
103,13586707,,1,"My Brilliant Friend (The Neapolitan Novels, #1)",None,4,452,0,9.993328,0.459878,0.434688,44306,0.034227,0.034227,0.001004,3,0.590744,0.653837,833.842023
104,58822,,1,"Big Stone Gap (Big Stone Gap, #1)",None,1,228,0,5.722675,0.263798,0.571876,14799,0.019654,0.019654,0.000617,2,0.542097,0.577657,168.853157
108,13642929,,1,My Beloved World,None,4,200,0,5.347279,0.234147,0.613266,12204,0.017442,0.017442,0.00059,3,0.535962,0.567779,108.945473
114,159760,,1,Reviving Ophelia: Saving the Selves of Adolescent Girls,None,1,120,0,2.46892,0.148434,0.663866,4740,0.011046,0.011046,0.000333,3,0.521122,0.540758,36.930508
124,30002998,,1,Two By Two,None,0,213,0,4.908878,0.25766,0.64647,14596,0.019245,0.019245,0.000518,3,0.53832,0.572094,81.188427
146,9758764,,1,Then Came You,None,1,138,0,3.294516,0.153976,0.635565,6008,0.011434,0.011434,0.00041,3,0.523725,0.546435,44.342287
148,43925876,,1,The Giver of Stars,None,0,640,0,19.916564,0.65974,0.426316,87173,0.049231,0.049231,0.001774,2,0.639373,0.717984,1345.851101
154,16130537,,1,The Humans,None,4,188,0,4.696114,0.211808,0.569007,10002,0.015789,0.015789,0.000524,3,0.534012,0.563919,91.222985
171,34066798,,1,A Gentleman in Moscow,None,4,361,0,7.003715,0.396499,0.489951,31837,0.029544,0.029544,0.000724,3,0.569876,0.622843,422.853764
179,32738672,,1,Unfu*k Yourself: Get Out of Your Head and Into Your Life,None,4,200,0,4.72098,0.235818,0.63593,12655,0.017599,0.017599,0.00052,3,0.536354,0.568006,95.715883
211,21480930,,1,Gone Girl,None,1,757,0,6.223736,0.687811,0.320399,91681,0.051042,0.051042,0.00066,2,0.673704,0.757834,4449.984503
215,11230081,,1,Seriously... I'm Kidding,None,4,198,0,3.010703,0.225388,0.548121,10690,0.016775,0.016775,0.000382,3,0.535571,0.567098,112.385734
221,11250317,,1,The Song of Achilles,None,4,343,0,4.873873,0.382324,0.507357,29758,0.028486,0.028486,0.000542,2,0.56614,0.616826,444.550756
226,39927096,,1,Less,None,4,394,0,8.678286,0.42713,0.492825,38155,0.031829,0.031829,0.00088,3,0.577271,0.634083,501.047511
230,26245850,,1,Before the Fall,None,4,448,0,11.517622,0.497346,0.505153,50580,0.037123,0.037123,0.001096,2,0.590032,0.652589,574.844379
236,20510868,,1,Big Little Lies,None,3,267,0,5.346204,0.255498,0.41038,14573,0.018831,0.018831,0.000638,2,0.550019,0.59094,505.189144
237,32895291,,1,The Lying Game,None,0,442,0,13.767057,0.482452,0.503607,49082,0.036009,0.036009,0.00126,3,0.588141,0.650318,549.450178
239,26192646,,1,Sweetbitter,None,4,232,0,5.962544,0.295241,0.677452,18153,0.022054,0.022054,0.000623,3,0.542298,0.578678,81.023198
246,19063,,1,The Book Thief,None,1,1139,0,7.833602,0.930567,0.248343,160949,0.068936,0.068936,0.000788,2,0.816917,0.887943,12109.091287
249,34914739,,1,I Am Watching You,None,3,263,0,6.931681,0.179071,0.308739,10637,0.012929,0.012929,0.000813,2,0.549196,0.589578,1070.719146
254,32498122,,1,The Identicals,None,0,397,0,15.116803,0.434476,0.524362,41218,0.032457,0.032457,0.001359,3,0.577725,0.634991,384.292692
261,10335308,,1,Is Everyone Hanging Out Without Me?,None,4,606,0,6.757659,0.585369,0.371672,68133,0.043485,0.043485,0.00072,3,0.629773,0.70629,2137.22421
270,25735012,,1,"Career of Evil (Cormoran Strike, #3)",None,4,410,0,8.477435,0.439049,0.46419,38920,0.032707,0.032707,0.000866,2,0.581156,0.639646,774.110805
271,6023056,,1,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",None,4,89,0,1.904774,0.101888,0.646834,2533,0.007564,0.007564,0.000293,3,0.515449,0.5302,44.400708
272,1103,,1,Snow Flower and the Secret Fan,None,1,654,0,9.560839,0.647447,0.3908,83448,0.048201,0.048201,0.00094,2,0.643295,0.722752,1883.099246
280,24859245,,1,"Stranger Child (DCI Tom Douglas, #4)",None,3,134,0,5.373661,0.074907,0.377062,3360,0.00532,0.00532,0.000651,2,0.523911,0.54564,241.389006
283,17404747,,1,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,None,3,193,0,4.377059,0.189985,0.463515,8588,0.013992,0.013992,0.000538,2,0.53518,0.565736,290.445749
284,43641,,1,Water for Elephants,None,1,1121,0,10.035733,0.917735,0.250695,157376,0.067953,0.067953,0.000982,2,0.808815,0.881812,10852.101675
294,16120760,,1,The Shock of the Fall,None,4,141,0,2.94935,0.18152,0.686424,6775,0.013537,0.013537,0.000372,3,0.524099,0.547343,42.833973
297,30739768,,1,The Barefoot Summer,None,3,158,0,6.492997,0.106101,0.43167,5354,0.007621,0.007621,0.000753,2,0.528438,0.553815,242.176675
301,2202049,,1,"Such a Pretty Fat: One Narcissist's Quest to Discover If Her Life Makes Her Ass Look Big, or Why Pie Is Not the Answer",None,1,101,0,2.373233,0.12326,0.674653,3407,0.009159,0.009159,0.000332,3,0.516356,0.533492,21.263295
305,6614,,1,Lipstick Jungle,None,1,171,0,4.212045,0.190355,0.566563,8235,0.014132,0.014132,0.000506,3,0.530155,0.557788,102.490798
306,12611253,,1,"Where'd You Go, Bernadette",None,4,199,0,4.372444,0.241338,0.61875,12190,0.017992,0.017992,0.000501,3,0.535962,0.567552,84.513222
310,9416,,1,"Confessions of a Shopaholic (Shopaholic, #1)",None,1,600,0,6.658899,0.558137,0.352415,63329,0.041404,0.041404,0.000724,2,0.628425,0.70436,2411.109804
314,10412,,1,He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,None,1,188,0,2.960411,0.227069,0.599158,10532,0.016902,0.016902,0.000373,3,0.533624,0.563692,111.620576
315,24687,,1,Don't Let's Go to the Dogs Tonight: An African Childhood,None,1,269,0,5.82398,0.305398,0.558425,20129,0.022727,0.022727,0.000632,2,0.550431,0.591621,215.05329
