Id,Label,timeset,bipartite,title,subjects,modularity_class,Degree,componentnumber,Weighted Degree,eigencentrality,clustering,triangles
0,29802,,1,"Scott Pilgrim, Volume 3: Scott Pilgrim &#38; The Infinite Sadness",None,1,442,0,10.146978,0.130045,0.557762,54360
1,228063,,1,"xxxHolic, Vol. 1 (xxxHOLiC, #1)",None,2,239,0,5.831435,0.071714,0.603389,17161
2,11594257,,1,"Under the Never Sky (Under the Never Sky, #1)",None,2,719,0,15.329991,0.165837,0.473987,122346
3,15839976,,1,"Red Rising (Red Rising Saga, #1)",None,4,2036,0,24.422618,0.465382,0.302497,626661
4,8909,,1,The War of the Worlds,None,1,1892,0,25.872255,0.444276,0.332134,594150
5,48132,,1,"My Family and Other Animals (Corfu Trilogy, #1)",None,1,312,0,6.751393,0.084395,0.455149,22082
6,4201106,,1,"A Rule Against Murder (Chief Inspector Armand Gamache, #4)",None,0,472,0,13.225349,0.127769,0.512532,56971
7,74928,,1,"Hellsing, Vol. 01 (Hellsing, #1)",None,2,349,0,7.325052,0.09363,0.508333,30869
8,350540,,1,The Road,None,1,475,0,8.272673,0.145993,0.537988,60564
9,8718952,,1,"Vampire Academy Box Set (Vampire Academy, #1-4)",None,2,396,0,10.550642,0.101985,0.558548,43684
10,10607,,1,"Black House (The Talisman, #2)",None,1,746,0,17.183104,0.203449,0.478507,132970
11,34964864,,1,After Anna,None,0,457,0,14.208451,0.099409,0.47093,49069
12,227865,,1,The Eternity Code (Artemis Fowl #3),None,2,1117,0,16.105716,0.281406,0.382571,238451
13,16115612,,1,And the Mountains Echoed,None,0,2164,0,24.519657,0.488756,0.296273,693387
14,4701550,,1,Passion Unleashed (Demonica #3),None,2,472,0,22.65754,0.093049,0.491534,54637
15,8490112,,1,"Daughter of Smoke &#38; Bone (Daughter of Smoke &#38; Bone, #1)",None,2,1922,0,22.881885,0.416724,0.293619,542044
16,35425827,,1,"Archenemies (Renegades, #2)",None,2,420,0,8.763551,0.122049,0.555427,48872
17,15811568,,1,Six Years,None,0,483,0,10.954546,0.128479,0.496327,57774
18,189147,,1,"To Your Scattered Bodies Go (Riverworld, #1)",None,1,514,0,11.154483,0.142488,0.525959,69343
19,7510,,1,The Beach House,None,0,419,0,10.037527,0.111304,0.476014,41685
20,28143118,,1,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",None,0,222,0,6.350125,0.051417,0.393665,9657
21,3061,,1,The Natural Way to Draw,None,1,205,0,5.270641,0.055191,0.563319,11779
22,10909,,1,The Tenth Circle,None,0,587,0,11.291859,0.167302,0.507108,87218
23,14758,,1,In Her Shoes,None,0,1338,0,15.77982,0.32946,0.366623,327927
24,18798983,,1,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",None,2,912,0,20.587224,0.209897,0.418934,174032
25,185911,,1,"When the Bough Breaks (Alex Delaware, #1)",None,0,583,0,11.409296,0.16411,0.51735,87770
26,10884,,1,Einstein: His Life and Universe,None,1,816,0,8.992459,0.228614,0.458231,152371
27,59829,,1,"Dance Upon the Air (Three Sisters Island, #1)",None,2,600,0,13.314241,0.159889,0.460996,82841
28,158119,,1,If You Could See Me Now,None,2,394,0,9.370947,0.100457,0.4742,36713
29,17317675,,1,"Epilogue (The Dark Duet, #3)",None,2,203,0,8.931961,0.034356,0.573477,11758
30,23212667,,1,All the Missing Girls,None,0,1085,0,18.108219,0.265982,0.400544,235548
31,25200,,1,Silence,None,1,402,0,8.346663,0.11486,0.518157,41764
32,3585344,,1,"Kiss of a Demon King (Immortals After Dark, #6)",None,2,342,0,20.361889,0.068413,0.623742,36371
33,7488244,,1,"Unearthly (Unearthly, #1)",None,2,641,0,14.553608,0.137654,0.463314,95035
34,18736925,,1,Capital in the Twenty-First Century,None,1,181,0,3.856631,0.042066,0.472744,7701
35,38855,,1,Confederates in the Attic: Dispatches from the Unfinished Civil War,None,1,548,0,12.053606,0.149885,0.513104,76903
36,3052106,,1,The Picture of Dorian Gray: A Graphic Novel,None,1,909,0,19.727793,0.252976,0.505515,208619
37,84736,,1,"Mary, Mary (Alex Cross, #11)",None,0,370,0,11.983638,0.100394,0.548363,37434
38,4452257,,1,The Book of Basketball: The NBA According to The Sports Guy,None,1,376,0,5.354096,0.123775,0.603688,42560
39,23453112,,1,Modern Romance,None,0,1182,0,14.800044,0.292802,0.376954,263103
40,1472878,,1,"Firefly Lane (Firefly Lane, #1)",None,0,1230,0,18.856917,0.294662,0.377384,285240
41,921651,,1,Just Go To Bed (A Golden Look-Look Book),None,1,338,0,8.241194,0.095188,0.593946,33827
