,count_0,count_1,count_2,count_3,count_4,count_all
Fiction,0.101880,0.136446,0.229230,0.240752,0.291692,1649.000000
Juvenile fiction,0.002160,0.053996,0.015119,0.287257,0.641469,463.000000
Internet Archive Wishlist,0.074236,0.165939,0.227074,0.218341,0.314410,229.000000
New York Times bestseller,0.044843,0.098655,0.278027,0.197309,0.381166,223.000000
United States,0.170213,0.037234,0.372340,0.393617,0.026596,188.000000
History,0.027174,0.016304,0.309783,0.543478,0.103261,184.000000
Fantasy,0.016484,0.450549,0.010989,0.126374,0.395604,182.000000
Open Library Staff Picks,0.162338,0.077922,0.168831,0.500000,0.090909,154.000000
Biography,0.041958,0.006993,0.489510,0.454545,0.006993,143.000000
Protected DAISY,0.093220,0.101695,0.245763,0.389831,0.169492,118.000000
Friendship,0.000000,0.009174,0.211009,0.311927,0.467890,109.000000
Science fiction,0.046296,0.277778,0.046296,0.203704,0.425926,108.000000
England,0.037383,0.056075,0.168224,0.588785,0.149533,107.000000
Magic,0.000000,0.261682,0.018692,0.065421,0.654206,107.000000
Families,0.010204,0.040816,0.397959,0.295918,0.255102,98.000000
Literature,0.052083,0.031250,0.364583,0.468750,0.083333,96.000000
Social life and customs,0.032967,0.010989,0.230769,0.670330,0.054945,91.000000
Ficción,0.224719,0.123596,0.168539,0.449438,0.033708,89.000000
Nonfiction,0.000000,0.000000,0.241379,0.735632,0.022989,87.000000
open_syllabus_project,0.000000,0.011494,0.057471,0.896552,0.034483,87.000000
Fantasy fiction,0.069767,0.395349,0.058140,0.151163,0.325581,86.000000
Man-woman relationships,0.000000,0.011765,0.364706,0.305882,0.317647,85.000000
Vampires,0.036145,0.036145,0.024096,0.108434,0.795181,83.000000
Schools,0.000000,0.000000,0.012500,0.175000,0.812500,80.000000
"Comic books, strips",0.038961,0.324675,0.012987,0.311688,0.311688,77.000000
Supernatural,0.040541,0.040541,0.027027,0.067568,0.824324,74.000000
Classic Literature,0.000000,0.027397,0.013699,0.958904,0.000000,73.000000
Long Now Manual for Civilization,0.015152,0.242424,0.045455,0.681818,0.015152,66.000000
Love stories,0.015625,0.000000,0.296875,0.140625,0.546875,64.000000
Fiction in English,0.190476,0.111111,0.063492,0.603175,0.031746,63.000000
Interpersonal relations,0.000000,0.000000,0.206349,0.206349,0.587302,63.000000
Accessible book,0.166667,0.100000,0.216667,0.433333,0.083333,60.000000
Love,0.000000,0.000000,0.051724,0.103448,0.844828,58.000000
Young women,0.035088,0.052632,0.350877,0.368421,0.192982,57.000000
