Id,Label,timeset,bipartite,title,subjects,Degree,Weighted Degree,modularity_class,clustering,triangles,componentnumber,eigencentrality,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub
6,420404,,1,Yertle the Turtle and Other Stories,None,224,31.826723,0,0.742233,18538,0,0.602194,0.002083,2,0.648541,0.729039,71.093072,0.048127,0.048127
16,682751,,1,Animalia,None,178,22.429138,0,0.795023,12524,0,0.490701,0.001559,2,0.61125,0.682004,33.735823,0.039269,0.039269
33,141935,,1,Curious George Visits the Library,None,203,35.730303,2,0.797152,16344,0,0.557052,0.002264,2,0.630968,0.707566,38.430276,0.044585,0.044585
36,1858013,,1,The Reason for God: Belief in an Age of Skepticism,None,110,10.996253,3,0.617681,3703,0,0.200339,0.001158,2,0.563364,0.612474,47.392946,0.015447,0.015447
74,819044,,1,Curious George Visits the Zoo,None,209,36.4,2,0.772865,16799,0,0.57263,0.002322,2,0.635891,0.713701,60.878024,0.045762,0.045762
102,7788,,1,The Cat in the Hat and Other Dr. Seuss Favorites,None,229,26.144467,0,0.729181,19036,0,0.611899,0.001763,2,0.65287,0.734151,85.914547,0.048871,0.048871
107,722864,,1,"Inside the Human Body (The Magic School Bus, #3)",None,278,40.544255,0,0.686752,26442,0,0.726022,0.002563,2,0.698571,0.784254,146.690912,0.057903,0.057903
159,95621,,1,"As Sure as the Dawn (Mark of the Lion, #3)",None,103,12.458773,3,0.614125,3226,0,0.203198,0.001215,2,0.558857,0.605317,44.835748,0.015779,0.015779
173,537296,,1,"Frog and Toad Are Friends (Frog and Toad, #1)",None,331,45.016473,0,0.625927,34185,0,0.829338,0.002845,2,0.755796,0.838446,240.121939,0.06616,0.06616
206,16300601,,1,Tongue Twisters for Kids,None,33,3.215152,0,0.833333,440,0,0.089579,0.000498,3,0.514737,0.532038,2.448925,0.007163,0.007163
209,125423,,1,The Very Quiet Cricket,None,221,28.308841,0,0.735788,17887,0,0.592766,0.001884,2,0.645971,0.725971,69.00532,0.047386,0.047386
220,175113,,1,The Return of the Prodigal Son: A Story of Homecoming,None,76,11,3,0.693684,1977,0,0.129212,0.001125,2,0.542129,0.57771,21.213542,0.009867,0.009867
249,191117,,1,Don't Let the Pigeon Stay Up Late!,None,207,28.005145,0,0.799728,17051,0,0.567541,0.001845,2,0.634241,0.711656,36.060295,0.045449,0.045449
253,95608,,1,Leota's Garden,None,130,17.956123,3,0.651401,5462,0,0.226164,0.001625,2,0.576651,0.632924,58.53828,0.017387,0.017386
258,772852,,1,The Cross and the Switchblade,None,200,30.259564,3,0.527789,10503,0,0.361863,0.002538,2,0.628535,0.704499,192.28137,0.028044,0.028044
266,233093,,1,The Cat in the Hat,None,404,82.970046,0,0.522603,42543,0,0.933337,0.005108,2,0.851916,0.913088,692.030254,0.074188,0.074188
267,18419,,1,The Kissing Hand,None,315,43.331094,0,0.649924,32142,0,0.802009,0.00274,2,0.737557,0.822086,186.026103,0.064015,0.064015
276,24178,,1,Charlotte's Web,None,466,187.071938,0,0.452877,49067,0,1,0.011312,2,0.955078,0.976483,1523.880584,0.07919,0.07919
287,213367,,1,Desiring God: Meditations of a Christian Hedonist,None,112,12.05396,3,0.59556,3702,0,0.194157,0.001221,2,0.564665,0.614519,57.877404,0.014936,0.014936
331,9677870,,1,Press Here,None,162,19.702797,0,0.811518,10583,0,0.438958,0.00141,2,0.599265,0.665644,24.64835,0.035161,0.035161
339,561909,,1,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,None,324,38.859597,3,0.483584,25304,0,0.68204,0.003126,2,0.747706,0.831288,656.303735,0.053637,0.053637
344,567795,,1,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,None,299,33.935778,3,0.488721,21773,0,0.621006,0.002831,2,0.720177,0.805726,578.722023,0.048737,0.048737
379,298019,,1,G-Spot: An Urban Erotic Tale,None,43,4.4,0,0.975637,881,0,0.118949,0.000566,2,0.522995,0.543967,0.298936,0.009507,0.009507
390,189182,,1,The Story About Ping,None,288,41.84608,0,0.683943,28266,0,0.746307,0.00264,2,0.708696,0.794479,127.233352,0.059647,0.059647
423,35332,,1,"Remember (Redemption, #2)",None,54,8.327356,3,0.800839,1146,0,0.078249,0.000982,3,0.528649,0.554874,6.241799,0.005875,0.005875
429,207569,,1,The Sign of the Beaver,None,164,24.5,0,0.811686,10849,0,0.465153,0.001672,2,0.600737,0.667689,22.396643,0.037114,0.037114
434,824204,,1,The Little Engine That Could,None,359,58.620635,0,0.595914,38294,0,0.880921,0.003607,2,0.789984,0.867076,328.071071,0.070232,0.070232
448,191113,,1,Don't Let the Pigeon Drive the Bus!,None,280,37.630972,0,0.691807,27022,0,0.727451,0.002409,2,0.700573,0.786299,133.742322,0.058153,0.058153
460,11233988,,1,I Want My Hat Back,None,89,7.517299,0,0.72906,2855,0,0.233451,0.00076,2,0.550056,0.591002,13.507729,0.018609,0.018609
518,1145862,,1,"Stand Tall, Molly Lou Melon",None,171,19.233283,0,0.812246,11806,0,0.464089,0.001376,2,0.605948,0.674847,23.832611,0.037177,0.037177
534,95607,,1,Unveiled: Tamar (Lineage of Grace #1),None,139,19.555926,3,0.636847,6108,0,0.235539,0.001751,2,0.582837,0.642127,69.063215,0.018073,0.018073
547,579143,,1,Scuffy the Tugboat,None,188,37.8,2,0.805439,14158,0,0.527726,0.002399,2,0.618987,0.692229,32.575191,0.042125,0.042125
561,29288,,1,One Morning in Maine,None,143,28.2,0,0.847828,8608,0,0.408069,0.001874,2,0.585629,0.646217,17.580734,0.032605,0.032605
