Id,Label,timeset,bipartite,title,subjects,Degree,Weighted Degree,modularity_class,clustering,triangles,componentnumber,eigencentrality,pageranks,Authority,Hub
0,790171,,1,Kon-Tiki,None,432,40.852664,3,0.550518,51251,0,0.257705,0.00007,0.01417,0.01417
3,315519,,1,"Rich Man, Poor Man",None,486,42.429512,1,0.622222,73332,0,0.301524,0.000076,0.016625,0.016625
13,22028,,1,Omerta,None,226,29.5,4,0.696401,17706,0,0.151309,0.000064,0.008315,0.008315
14,249042,,1,Darkness Visible: A Memoir of Madness,None,490,44.662958,0,0.608021,72844,0,0.308938,0.00007,0.017028,0.017028
19,115476,,1,Nostromo,None,453,51.544289,1,0.631181,64619,0,0.287282,0.000069,0.015853,0.015853
26,18869177,,1,Lying,None,305,27.829458,3,0.578494,26819,0,0.175529,0.000056,0.009598,0.009598
27,27276428,,1,The Gene: An Intimate History,None,337,28.278442,3,0.596651,33780,0,0.204008,0.000054,0.011185,0.011185
31,31818,,1,The Philosophy of Andy Warhol,None,395,24.807478,5,0.523215,40714,0,0.223802,0.000046,0.012295,0.012295
34,16326,,1,"Death in the Clouds (Hercule Poirot, #12)",None,389,45.313426,4,0.627528,47357,0,0.24201,0.000082,0.013307,0.013307
37,93981,,1,The Interpretation of Dreams,None,629,37.588561,2,0.536703,106002,0,0.37398,0.000061,0.020589,0.020589
39,18869970,,1,My Cousin Rachel,None,376,35.899317,1,0.640894,45183,0,0.245567,0.000083,0.013524,0.013524
54,5113,,1,Franny and Zooey,None,1337,113.994304,2,0.38501,343859,0,0.68177,0.00016,0.037549,0.037549
56,77163,,1,"Stones from the River (Burgdorf Cycle, #1)",None,800,53.40641,0,0.522966,167140,0,0.465631,0.000112,0.025678,0.025678
65,13707734,,1,The Swerve: How the World Became Modern,None,289,29.581818,3,0.55904,23265,0,0.167603,0.000057,0.009194,0.009194
68,31842429,,1,Patria,None,109,9.838112,2,0.6614,3893,0,0.070866,0.000034,0.003892,0.003892
69,1591,,1,Lysistrata,None,545,47.428939,1,0.615482,91239,0,0.342422,0.000082,0.018896,0.018896
83,13623012,,1,"The Prisoner of Heaven (The Cemetery of Forgotten Books, #3)",None,342,25.850188,2,0.661573,38577,0,0.230401,0.000068,0.01269,0.01269
86,23995249,,1,The Invention of Nature: Alexander von Humboldt's New World,None,221,22.136364,0,0.635829,15457,0,0.137825,0.00005,0.007581,0.007581
106,49221,,1,A Grief Observed,None,583,34.079647,1,0.560969,95170,0,0.35303,0.000074,0.019457,0.019457
109,82888,,1,Dom Casmurro,None,188,18.049917,2,0.701673,12334,0,0.125383,0.000044,0.006893,0.006893
110,31168,,1,Shirley,None,330,38.363054,1,0.732578,39768,0,0.221849,0.000062,0.012252,0.012252
111,28381,,1,Dead Souls,None,641,47.345853,2,0.561423,115159,0,0.38756,0.000067,0.021361,0.021361
113,2526,,1,Blindness,None,1062,73.022638,2,0.419263,236209,0,0.560533,0.000124,0.030856,0.030856
114,16697,,1,The Mysteries of Pittsburgh,None,409,41.126293,0,0.614075,51236,0,0.255291,0.000074,0.014053,0.014053
