Id,Label,timeset,bipartite,title,subjects,Degree,Weighted Degree,modularity_class,clustering,triangles,componentnumber,eigencentrality,pageranks
1,16090981,,1,"Thief (Love Me with Lies, #3)",None,367,35.813778,5,0.607049,40770,0,0.168245,0.000054
7,15729261,,1,"The Marriage Mistake (Marriage to a Billionaire, #3)",None,320,42,5,0.543789,27755,0,0.12554,0.000054
10,17835766,,1,"One More Chance (Rosemary Beach, #8; Chance, #2)",None,652,80.503828,5,0.534982,113537,0,0.302258,0.000088
15,385742,,1,"Gregor and the Prophecy of Bane (Underland Chronicles, #2)",None,403,50.68335,1,0.643877,52156,0,0.208754,0.000077
24,1421990,,1,"Halfway to the Grave (Night Huntress, #1)",None,1060,112.373414,2,0.434817,244050,0,0.466196,0.000132
25,4497978,,1,Desire Unchained (Demonica #2),None,693,83.860619,2,0.518663,124364,0,0.315491,0.00009
28,17255265,,1,"This Man Confessed (This Man, #3)",None,645,72.625943,5,0.487857,101323,0,0.269701,0.000085
29,511684,,1,The Illustrated Mum,None,211,26.3,1,0.60984,13511,0,0.111637,0.000057
30,106134,,1,"Bone, Vol, 1: Out from Boneville (Bone, #1)",None,438,25.874104,1,0.534926,51194,0,0.211219,0.000062
32,1675216,,1,"Found (The Missing, #1)",None,471,41.915621,1,0.557447,61701,0,0.229473,0.000062
35,89716,,1,"Al Capone Does My Shirts (Tales from Alcatraz, #1)",None,702,52.710146,1,0.506171,124544,0,0.333044,0.000087
42,30095464,,1,"The Bone Witch (The Bone Witch, #1)",None,267,32.2,3,0.637014,22621,0,0.143575,0.000062
47,11765920,,1,"The Calling (Darkness Rising, #2)",None,545,50.784918,2,0.580215,86011,0,0.283594,0.000061
49,33860984,,1,Egomaniac,None,139,17.1,5,0.592326,5681,0,0.04898,0.000033
51,2985500,,1,"Night World, No. 2 (Night World, #4-6)",None,914,76.892361,2,0.487711,203493,0,0.441721,0.000091
55,6202690,,1,Twilight Director's Notebook: The Story of How We Made the Movie Based on the Novel by Stephenie Meyer,None,584,32.92864,2,0.559218,95199,0,0.308638,0.000062
58,7217724,,1,"Night Whispers (Warriors: Omen of the Stars, #3)",None,412,67.1,1,0.716699,60680,0,0.229057,0.000082
60,2679633,,1,"Pleasure Unbound (Demonica, #1)",None,801,87.38397,2,0.508739,163000,0,0.374994,0.0001
61,7775611,,1,"Thirst No. 3: The Eternal Dawn (Thirst, #3)",None,217,22.288728,2,0.728367,17070,0,0.131249,0.000037
63,27362503,,1,It Ends with Us,None,1393,118.197619,5,0.361686,350665,0,0.585035,0.00021
