Id,Label,timeset,bipartite,title,subjects,Degree,Weighted Degree,modularity_class,clustering,triangles,componentnumber,eigencentrality,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
77,10402992,,1,"New York to Dallas (In Death, #33)",None,38,21.701515,0,0.997155,701,0,1,0.022368,1,1,1,0.055556
175,129523,,1,"Divided in Death (In Death, #18)",None,38,26.883608,1,0.997155,701,0,1,0.026794,1,1,1,0.055556
264,13252406,,1,"Delusion in Death (In Death, #35)",None,38,22.7,0,0.997155,701,0,1,0.023255,1,1,1,0.055556
612,238140,,1,"Reunion in Death (In Death, #14)",None,38,26.525874,1,0.997155,701,0,1,0.026485,1,1,1,0.055556
730,3492020,,1,"Promises in Death (In Death, #28)",None,38,30.36407,0,0.997155,701,0,1,0.029813,1,1,1,0.055556
1243,238142,,1,"Visions in Death (In Death, #19)",None,38,27.899932,1,0.997155,701,0,1,0.027673,1,1,1,0.055556
1367,201175,,1,"Rapture in Death (In Death, #4)",None,38,26.551593,0,0.997155,701,0,1,0.026544,1,1,1,0.055556
1593,268604,,1,"Portrait in Death (In Death, #16)",None,38,27.565735,1,0.997155,701,0,1,0.027407,1,1,1,0.055556
2178,762064,,1,"Betrayal in Death (In Death, #12)",None,38,28.449517,1,0.997155,701,0,1,0.028135,1,1,1,0.055556
2912,369778,,1,Remember When,None,38,12.735315,1,0.997155,701,0,1,0.014736,1,1,1,0.055556
2929,102857,,1,"Born in Death (In Death, #23)",None,38,25.808078,1,0.997155,701,0,1,0.025904,1,1,1,0.055556
3028,268602,,1,"Naked in Death (In Death, #1)",None,36,15.257053,1,1,630,0,0.949825,0.016815,2,0.95,0.973684,0
3234,479309,,1,Naked in Death (In Death #1),None,37,11.942841,0,1,666,0,0.975569,0.014069,2,0.974359,0.986842,0
3439,2494204,,1,"Salvation in Death (In Death, #27)",None,38,27.925758,1,0.997155,701,0,1,0.027671,1,1,1,0.055556
4370,5943970,,1,"Kindred in Death (In Death, #29)",None,38,27.6,0,0.997155,701,0,1,0.027388,1,1,1,0.055556
4566,238141,,1,"Memory in Death (In Death, #22)",None,38,28.158125,1,0.997155,701,0,1,0.027886,1,1,1,0.055556
5183,132778,,1,"Vengeance in Death (In Death, #6)",None,38,27.592374,0,0.997155,701,0,1,0.027427,1,1,1,0.055556
5309,238126,,1,"Immortal in Death (In Death, #3)",None,38,28.442177,0,0.997155,701,0,1,0.028165,1,1,1,0.055556
5806,268598,,1,"Loyalty in Death (In Death, #9)",None,38,29.826923,1,0.997155,701,0,1,0.029302,1,1,1,0.055556
5878,129524,,1,"Midnight in Death (In Death, #7.5)",None,38,21.5,1,0.997155,701,0,1,0.022183,1,1,1,0.055556
6267,74033,,1,"Innocent in Death (In Death, #24)",None,38,28.525322,1,0.997155,701,0,1,0.028215,1,1,1,0.055556
6277,238137,,1,"Purity in Death (In Death, #15)",None,38,30.059091,1,0.997155,701,0,1,0.029495,1,1,1,0.055556
6941,35466342,,1,"Dark in Death (In Death, #46)",None,37,13.863636,0,1,666,0,0.975569,0.015676,2,0.974359,0.986842,0
7204,109367,,1,"Survivor In Death (In Death, #20)",None,38,27.880696,1,0.997155,701,0,1,0.02765,1,1,1,0.055556
7242,172691,,1,"Conspiracy in Death (In Death, #8)",None,38,27.280317,1,0.997155,701,0,1,0.027144,1,1,1,0.055556
7321,238127,,1,"Seduction in Death (In Death, #13)",None,38,30.85,1,0.997155,701,0,1,0.030186,1,1,1,0.055556
7328,89160,,1,"Judgment in Death (In Death, #11)",None,38,24.839597,1,0.997155,701,0,1,0.025105,1,1,1,0.055556
7488,268601,,1,"Glory in Death (In Death, #2)",None,38,29.241751,0,0.997155,701,0,1,0.028852,1,1,1,0.055556
7590,238125,,1,"Holiday in Death (In Death, #7)",None,38,29.398797,0,0.997155,701,0,1,0.028982,1,1,1,0.055556
8083,238139,,1,"Imitation in Death (In Death, #17)",None,38,28.405245,1,0.997155,701,0,1,0.028091,1,1,1,0.055556
8511,74036,,1,"Ceremony in Death (In Death, #5)",None,38,27.998461,0,0.997155,701,0,1,0.027779,1,1,1,0.055556
8514,8315872,,1,"Treachery in Death (In Death, #32)",None,38,23.322411,0,0.997155,701,0,1,0.023785,1,1,1,0.055556
8524,210243,,1,"Origin in Death (In Death, #21)",None,38,27.878363,1,0.997155,701,0,1,0.027645,1,1,1,0.055556
8532,6542645,,1,"Fantasy in Death (In Death, #30)",None,38,24.460256,0,0.997155,701,0,1,0.024737,1,1,1,0.055556
9050,1158706,,1,"Strangers in Death (In Death, #26)",None,38,28.825957,0,0.997155,701,0,1,0.028477,1,1,1,0.055556
9267,1566705,,1,"Creation in Death (In Death, #25)",None,38,23.445455,1,0.997155,701,0,1,0.023826,1,1,1,0.055556
10149,7685763,,1,"Indulgence in Death (In Death, #31)",None,38,23.19359,0,0.997155,701,0,1,0.023697,1,1,1,0.055556
10412,213975,,1,"Witness in Death (In Death, #10)",None,38,27.489103,1,0.997155,701,0,1,0.02732,1,1,1,0.055556
10562,13007638,,1,"Celebrity in Death (In Death, #34)",None,38,22.8,0,0.997155,701,0,1,0.02332,1,1,1,0.055556
