,0
Fiction,1649.0
Juvenile fiction,463.0
Internet Archive Wishlist,229.0
New York Times bestseller,223.0
United States,188.0
History,184.0
Fantasy,182.0
Open Library Staff Picks,154.0
Biography,143.0
Protected DAISY,118.0
Friendship,109.0
Science fiction,108.0
Magic,107.0
England,107.0
Families,98.0
Literature,96.0
Social life and customs,91.0
Ficción,89.0
open_syllabus_project,87.0
Nonfiction,87.0
Fantasy fiction,86.0
Man-woman relationships,85.0
Vampires,83.0
Schools,80.0
"Comic books, strips",77.0
Supernatural,74.0
Classic Literature,73.0
Long Now Manual for Civilization,66.0
Love stories,64.0
Interpersonal relations,63.0
Fiction in English,63.0
Accessible book,60.0
Love,58.0
Young women,57.0
Juvenile Fiction,57.0
Good and evil,57.0
Detective and mystery stories,56.0
Family,56.0
Orphans,55.0
Teenage girls,54.0
Women,53.0
Romance,53.0
Death,53.0
Brothers and sisters,52.0
Juvenile literature,52.0
Murder,50.0
Ficción juvenil,50.0
London,46.0
California,46.0
New York,45.0
High schools,44.0
Psychological fiction,44.0
Large type books,44.0
Drama,43.0
Thriller,43.0
Domestic fiction,43.0
Humorous stories,42.0
Great Britain,42.0
Family life,41.0
Historical fiction,41.0
Wizards,40.0
France,40.0
Maine,40.0
Horror tales,39.0
Survival,39.0
History and criticism,39.0
Adventure and adventurers,39.0
Sisters,38.0
Graphic novels,38.0
Children's stories,38.0
Translations into English,37.0
New York (N.Y.),37.0
Paranormal fiction,37.0
Adventure stories,36.0
Readers,35.0
Conduct of life,35.0
Mystery fiction,35.0
FICTION,34.0
Suspense,34.0
Horror,34.0
Social conditions,34.0
Science Fiction,33.0
Teenagers,32.0
Young adult fiction,32.0
Manners and customs,31.0
Married people,31.0
Literary,30.0
Spanish language materials,30.0
Police,30.0
Psychology,29.0
Missing persons,29.0
Fathers and sons,29.0
Criticism and interpretation,29.0
Brothers,29.0
General,28.0
JUVENILE FICTION,28.0
Massachusetts,28.0
Private investigators,28.0
"World War, 1939-1945",28.0
Americans,28.0
Horror stories,28.0
Secrets,28.0
Mystery,28.0
FICTION / Literary,27.0
New York City,27.0
Marriage,27.0
Mothers and daughters,27.0
Cartoons and comics,26.0
Suspense fiction,26.0
Fathers and daughters,26.0
Social classes,26.0
Investigation,26.0
Travel,26.0
Classics,26.0
Young men,25.0
Revenge,25.0
Bildungsromans,25.0
Female friendship,25.0
Dating (Social customs),25.0
Specimens,25.0
Crimes against,24.0
Secrecy,24.0
Fairy tales,24.0
English language,24.0
Witches,24.0
Married women,24.0
London (England),24.0
Horror fiction,23.0
Humor,23.0
New York (State),23.0
Novela,23.0
Translations into Russian,23.0
Triangles (Interpersonal relations),23.0
Italy,23.0
Politics and government,22.0
Grief,22.0
literary fiction,22.0
Life change events,22.0
Boys,22.0
Children,22.0
Family secrets,22.0
Biography & Autobiography,22.0
New Jersey,21.0
science fiction,21.0
Women detectives,21.0
African Americans,21.0
Demonology,21.0
Kings and rulers,21.0
Philosophy,21.0
Time travel,21.0
Historical Fiction,21.0
City and town life,21.0
Girls,20.0
Paris,20.0
Animals,20.0
Coming of age,20.0
Poetry,20.0
Life on other planets,20.0
Books and reading,20.0
fiction,20.0
Chicago,19.0
Imaginary wars and battles,19.0
Race relations,19.0
Heroes,19.0
fantasy,19.0
Fairies,19.0
Amerikanisches Englisch,19.0
"Children's stories, English",19.0
Psychological aspects,19.0
New England,18.0
God,18.0
English fiction,18.0
North Carolina,18.0
Business,18.0
USA,18.0
American Fantasy fiction,18.0
American Science fiction,18.0
Discworld (Imaginary place),18.0
Serial murders,18.0
Patients,18.0
Hugo Award Winner,18.0
Kidnapping,18.0
Short stories,18.0
Texas,17.0
"Romans, nouvelles",17.0
English literature,17.0
Description and travel,17.0
Islands,17.0
Mystery and detective stories,17.0
Science Fiction & Fantasy,17.0
Social Themes,17.0
Novela fantástica,17.0
American Authors,17.0
Roman,17.0
Country life,16.0
JUVENILE FICTION / Fantasy & Magic,16.0
Young Adult Fiction,16.0
Artists,16.0
China,16.0
Voyages and travels,16.0
Self-actualization (Psychology),16.0
Europe,16.0
Chicago (Ill.),16.0
Boston,16.0
Humorous fiction,16.0
Male friendship,16.0
Extraterrestrial beings,16.0
School stories,16.0
Germany,16.0
Presidents,16.0
Stephanie Plum (Fictitious character),16.0
Princesses,16.0
suspense,16.0
Japan,16.0
award:hugo_award=novel,16.0
Boarding schools,15.0
thrillers,15.0
English Fantasy fiction,15.0
Adventure fiction,15.0
Folklore,15.0
Quests (Expeditions),15.0
Textual Criticism,15.0
Action & Adventure,15.0
Diaries,15.0
Jews,15.0
Greek Mythology,15.0
historical fiction,15.0
Self-realization,15.0
Biographies,15.0
Russia,15.0
Terrorism,15.0
Princes,15.0
San Francisco,15.0
Monsters,15.0
Case studies,15.0
Inheritance and succession,15.0
Paris (France),14.0
Manuscripts,14.0
Dystopias,14.0
American Horror tales,14.0
Imaginary places,14.0
Romance fiction,14.0
India,14.0
Georgia,14.0
Louisiana,14.0
Comics & Graphic Novels,14.0
Assassins,14.0
American fiction,14.0
Genetic engineering,14.0
Spy stories,14.0
Mothers and sons,14.0
Sherlock Holmes,14.0
Journalists,14.0
Twins,13.0
Teenage boys,13.0
Connecticut,13.0
Historical,13.0
"Children's stories, American",13.0
War,13.0
Success,13.0
Best friends,13.0
Australia,13.0
High school students,13.0
Toy and movable books,13.0
Ireland,13.0
Ciencia-ficción,13.0
Authorship,13.0
Study and teaching,13.0
Dogs,13.0
Werewolves,13.0
Spies,13.0
"Survival after airplane accidents, shipwrecks",13.0
Widows,13.0
English drama,13.0
horror,13.0
Florida,13.0
horror fiction,13.0
horror tales,13.0
Psychic ability,13.0
Anecdotes,12.0
"Problems, exercises",12.0
Fantasy & Magic,12.0
"Love stories, American",12.0
Murderers,12.0
Farm life,12.0
Occult fiction,12.0
FICTION / Historical,12.0
Memory,12.0
English,12.0
Mexico,12.0
Family relationships,12.0
Scotland,12.0
America,12.0
Illinois,12.0
Identity,12.0
Magicians,12.0
Earth,12.0
Angels,12.0
Dragons,12.0
Art,12.0
Newbery Medal,12.0
Suicide,12.0
Plays,12.0
Adaptations,12.0
Human-animal relationships,11.0
Legal stories,11.0
Biografía,11.0
Widowers,11.0
First loves,11.0
Sex role,11.0
Trenton (N.J.),11.0
Facsimiles,11.0
Homicide,11.0
College students,11.0
Serial murderers,11.0
Resistance to Government,11.0
Survival skills,11.0
Detective and mystery fiction,11.0
Mothers,11.0
Authors,11.0
Canada,11.0
Fictional Works,11.0
Early works to 1800,11.0
Wealth,11.0
Loss (Psychology),11.0
Women bounty hunters,11.0
Cuentos de terror,11.0
Queens,11.0
Historia,11.0
Success in business,11.0
Romans,11.0
Bounty hunters,11.0
Childhood and youth,11.0
Harry Potter,11.0
American wit and humor,10.0
Dysfunctional families,10.0
English Science fiction,10.0
Juvenile drama,10.0
African American women,10.0
Washington (State),10.0
William Shakespeare (1564-1616),10.0
JUVENILE FICTION / Action & Adventure / General,10.0
Political fiction,10.0
England in fiction,10.0
Africa,10.0
Humor (Fiction),10.0
Religion,10.0
Self-perception,10.0
Southern States,10.0
Translations from English,10.0
Interplanetary voyages,10.0
Men,10.0
Jack Reacher (Fictitious character),10.0
Contests,10.0
Soviet Union,10.0
Camps,10.0
Mississippi,10.0
Fictional Works Publication Type,10.0
